index	epoch	batch	loss
0-0	0	0	960.3502807617188
0-1	0	1	126.17352294921875
0-2	0	2	417.64178466796875
0-3	0	3	197.03469848632812
0-4	0	4	275.917724609375
0-5	0	5	219.03823852539062
0-6	0	6	172.73263549804688
0-7	0	7	149.5275421142578
0-8	0	8	112.72613525390625
0-9	0	9	108.48359680175781
0-10	0	10	151.62051391601562
0-11	0	11	126.70490264892578
0-12	0	12	145.8427734375
0-13	0	13	147.82537841796875
0-14	0	14	72.95333862304688
0-15	0	15	131.04754638671875
0-16	0	16	85.23260498046875
0-17	0	17	101.13282775878906
0-18	0	18	106.21832275390625
0-19	0	19	59.729652404785156
0-20	0	20	77.32923889160156
0-21	0	21	74.72622680664062
0-22	0	22	51.877357482910156
0-23	0	23	50.48237609863281
0-24	0	24	61.126312255859375
0-25	0	25	45.2103385925293
0-26	0	26	84.13385009765625
0-27	0	27	31.86508560180664
0-28	0	28	72.27952575683594
0-29	0	29	71.80339050292969
0-30	0	30	58.388153076171875
0-31	0	31	35.04234313964844
0-32	0	32	43.99240493774414
0-33	0	33	43.91405487060547
0-34	0	34	66.83267974853516
0-35	0	35	53.50428771972656
0-36	0	36	59.83586502075195
0-37	0	37	55.12793731689453
0-38	0	38	30.151390075683594
0-39	0	39	46.063507080078125
0-40	0	40	26.126483917236328
0-41	0	41	42.75584411621094
0-42	0	42	31.260791778564453
0-43	0	43	49.3205451965332
0-44	0	44	30.084087371826172
0-45	0	45	36.39556121826172
0-46	0	46	53.59125900268555
0-47	0	47	38.15596008300781
0-48	0	48	78.26753997802734
0-49	0	49	38.68061447143555
0-50	0	50	27.30722427368164
0-51	0	51	15.642074584960938
0-52	0	52	34.53111267089844
0-53	0	53	34.626068115234375
0-54	0	54	41.08330535888672
0-55	0	55	42.36334991455078
0-56	0	56	26.99748992919922
0-57	0	57	38.7248420715332
0-58	0	58	24.528127670288086
0-59	0	59	21.455615997314453
0-60	0	60	21.774263381958008
0-61	0	61	59.235599517822266
1-0	1	0	26.69086456298828
1-1	1	1	27.527503967285156
1-2	1	2	22.42397117614746
1-3	1	3	12.436466217041016
1-4	1	4	45.177955627441406
1-5	1	5	19.102319717407227
1-6	1	6	24.156932830810547
1-7	1	7	15.927539825439453
1-8	1	8	23.201854705810547
1-9	1	9	30.132905960083008
1-10	1	10	20.319881439208984
1-11	1	11	18.533918380737305
1-12	1	12	15.564384460449219
1-13	1	13	15.590557098388672
1-14	1	14	16.858829498291016
1-15	1	15	6.8914570808410645
1-16	1	16	25.77747344970703
1-17	1	17	12.297826766967773
1-18	1	18	33.20891571044922
1-19	1	19	21.778121948242188
1-20	1	20	17.152013778686523
1-21	1	21	21.077661514282227
1-22	1	22	27.35882568359375
1-23	1	23	14.088249206542969
1-24	1	24	21.580806732177734
1-25	1	25	18.010482788085938
1-26	1	26	24.21733283996582
1-27	1	27	17.956369400024414
1-28	1	28	26.62276268005371
1-29	1	29	17.624794006347656
1-30	1	30	8.404034614562988
1-31	1	31	18.20370101928711
1-32	1	32	19.71123504638672
1-33	1	33	10.498841285705566
1-34	1	34	15.046032905578613
1-35	1	35	12.910335540771484
1-36	1	36	18.460145950317383
1-37	1	37	16.604463577270508
1-38	1	38	20.475082397460938
1-39	1	39	17.680086135864258
1-40	1	40	7.199176788330078
1-41	1	41	15.19846248626709
1-42	1	42	16.6835994720459
1-43	1	43	7.259737968444824
1-44	1	44	15.040060043334961
1-45	1	45	7.382653713226318
1-46	1	46	11.675655364990234
1-47	1	47	19.48940086364746
1-48	1	48	15.753923416137695
1-49	1	49	17.568904876708984
1-50	1	50	22.366958618164062
1-51	1	51	16.551725387573242
1-52	1	52	18.358991622924805
1-53	1	53	14.029593467712402
1-54	1	54	13.185612678527832
1-55	1	55	14.266237258911133
1-56	1	56	7.871973037719727
1-57	1	57	9.037822723388672
1-58	1	58	16.123504638671875
1-59	1	59	9.660726547241211
1-60	1	60	11.438457489013672
1-61	1	61	8.903690338134766
2-0	2	0	16.119709014892578
2-1	2	1	9.664318084716797
2-2	2	2	12.364007949829102
2-3	2	3	12.745595932006836
