index	epoch	batch	loss
0-0	0	0	81.67611694335938
0-1	0	1	73.40643310546875
0-2	0	2	105.55357360839844
0-3	0	3	81.0386962890625
0-4	0	4	46.69314193725586
0-5	0	5	41.530364990234375
0-6	0	6	61.272132873535156
0-7	0	7	26.246736526489258
0-8	0	8	57.96084976196289
0-9	0	9	47.453590393066406
0-10	0	10	30.60983657836914
0-11	0	11	22.309240341186523
0-12	0	12	12.197031021118164
0-13	0	13	23.8286190032959
0-14	0	14	36.76768493652344
0-15	0	15	24.07415771484375
0-16	0	16	30.525718688964844
0-17	0	17	9.582418441772461
0-18	0	18	21.02546501159668
0-19	0	19	24.0190372467041
0-20	0	20	14.601759910583496
0-21	0	21	23.622314453125
0-22	0	22	13.013446807861328
0-23	0	23	25.585630416870117
0-24	0	24	17.269855499267578
0-25	0	25	18.914113998413086
0-26	0	26	17.003992080688477
0-27	0	27	16.89767074584961
0-28	0	28	12.838377952575684
0-29	0	29	19.304426193237305
0-30	0	30	15.134564399719238
1-0	1	0	13.98215389251709
1-1	1	1	14.071290969848633
1-2	1	2	9.236626625061035
1-3	1	3	10.217422485351562
1-4	1	4	11.017117500305176
1-5	1	5	13.305990219116211
1-6	1	6	13.027241706848145
1-7	1	7	8.688413619995117
1-8	1	8	15.36874771118164
1-9	1	9	11.800885200500488
1-10	1	10	19.044902801513672
1-11	1	11	6.204108715057373
1-12	1	12	5.213095188140869
1-13	1	13	6.386742115020752
1-14	1	14	12.822582244873047
1-15	1	15	6.0093488693237305
1-16	1	16	6.1343464851379395
1-17	1	17	7.402606964111328
1-18	1	18	7.1901021003723145
1-19	1	19	6.622987747192383
1-20	1	20	7.462281703948975
1-21	1	21	7.251056671142578
1-22	1	22	6.0857625007629395
1-23	1	23	5.235015392303467
1-24	1	24	10.038793563842773
1-25	1	25	5.02974796295166
1-26	1	26	4.555911064147949
1-27	1	27	6.9424147605896
1-28	1	28	14.513992309570312
1-29	1	29	5.1955060958862305
1-30	1	30	5.235339641571045
2-0	2	0	7.539910793304443
2-1	2	1	6.818528652191162
2-2	2	2	6.471783638000488
2-3	2	3	9.631872177124023
2-4	2	4	6.593903541564941
2-5	2	5	3.042968511581421
