epoch	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78
0	2.968477964401245	3.0676791667938232	2.6978163719177246	2.9652721881866455	2.8083291053771973	2.769941806793213	3.0045249462127686	2.8373990058898926	2.923365354537964	2.819706678390503	2.769021987915039	2.9261763095855713	2.6271257400512695	2.502678155899048	2.7343249320983887	2.966168165206909	2.820047616958618	2.6587908267974854	2.712955951690674	2.8039114475250244	2.5746288299560547	2.853219985961914	2.7343287467956543	2.6200153827667236	2.6364409923553467	2.690080404281616	2.62591552734375	2.4698550701141357	2.8311755657196045	2.8545093536376953	2.82969069480896	2.565335273742676	2.6281325817108154	2.5925984382629395	2.4614944458007812	2.5900163650512695	2.633570671081543	2.584069013595581	2.414874315261841	2.693955659866333	2.593183994293213	2.604262590408325	2.6144967079162598	2.6954588890075684	2.4872255325317383	2.475409507751465	2.573686122894287	2.4323978424072266	2.6578140258789062	2.4596195220947266	2.4578356742858887	2.645242691040039	2.6885037422180176	2.486117362976074	2.4466137886047363	2.468553066253662	2.4999027252197266	2.5446879863739014	2.651185989379883	2.4633877277374268	2.3807644844055176	2.487473964691162	2.565098762512207	2.330326557159424	2.322695732116699	2.5815744400024414	2.450427293777466	2.5225703716278076	2.655658721923828	2.515967845916748	2.466374397277832	2.451796531677246	2.6862058639526367	2.4557509422302246	2.380154848098755	2.4318418502807617	2.4266366958618164	2.317861795425415	2.569669723510742
1	2.4520130157470703	2.3954155445098877	2.371349334716797	2.4573557376861572	2.4577996730804443	2.3752501010894775	2.5352578163146973	2.4382293224334717	2.513063907623291	2.4232594966888428	2.3938281536102295	2.4532742500305176	2.317318916320801	2.224860429763794	2.3991079330444336	2.568303346633911	2.4544382095336914	2.3264987468719482	2.3509929180145264	2.4375357627868652	2.3373992443084717	2.5182507038116455	2.4743802547454834	2.3673882484436035	2.3601012229919434	2.3423144817352295	2.399070978164673	2.2332468032836914	2.5064523220062256	2.506272315979004	2.4698312282562256	2.349637985229492	2.367443561553955	2.299173593521118	2.277864694595337	2.320549249649048	2.402078151702881	2.3634073734283447	2.201533079147339	2.4135892391204834	2.4075207710266113	2.3884170055389404	2.36460018157959	2.4249324798583984	2.3141355514526367	2.2759969234466553	2.341994047164917	2.258316993713379	2.465667486190796	2.2676925659179688	2.268566370010376	2.415450096130371	2.4364941120147705	2.3237357139587402	2.3099589347839355	2.323625087738037	2.3077006340026855	2.3802592754364014	2.4205522537231445	2.294152021408081	2.2511253356933594	2.289414405822754	2.373493194580078	2.216172218322754	2.191448450088501	2.38565731048584	2.2706549167633057	2.3634891510009766	2.4250600337982178	2.3426706790924072	2.339582920074463	2.263803720474243	2.5018274784088135	2.3279478549957275	2.234651565551758	2.3072588443756104	2.2727701663970947	2.189962387084961	2.3516900539398193
2	2.310776948928833	2.2295801639556885	2.2570836544036865	2.3060145378112793	2.343693733215332	2.2496321201324463	2.3742992877960205	2.302243709564209	2.3812077045440674	2.285825252532959	2.2702887058258057	2.291860818862915	2.199066162109375	2.124300956726074	2.2781333923339844	2.3980541229248047	2.325723171234131	2.190514326095581	2.221606731414795	2.2971363067626953	2.2171170711517334	2.384920358657837	2.363696813583374	2.2446229457855225	2.2328081130981445	2.196575403213501	2.304849624633789	2.1281769275665283	2.3575305938720703	2.3622968196868896	2.323547601699829	2.249652862548828	2.23582124710083	2.175771474838257	2.1971402168273926	2.2022829055786133	2.283672571182251	2.242274284362793	2.103043794631958	2.278921604156494	2.302537441253662	2.27718186378479	2.246971368789673	2.2898142337799072	2.219539165496826	2.181009292602539	2.2193641662597656	2.166017770767212	2.3694958686828613	2.1674306392669678	2.16666841506958	2.302258014678955	2.297626495361328	2.233719825744629	2.2259268760681152	2.242217540740967	2.1887059211730957	2.2942075729370117	2.294174909591675	2.197528123855591	2.1605396270751953	2.173194408416748	2.2575910091400146	2.1310017108917236	2.112912654876709	2.2742764949798584	2.161468505859375	2.2667925357818604	2.2998104095458984	2.2318308353424072	2.2588915824890137	2.150653600692749	2.387024164199829	2.252591371536255	2.1247456073760986	2.224825382232666	2.1742775440216064	2.1029138565063477	2.2281672954559326
3	2.214172124862671	2.1255147457122803	2.167416572570801	2.211303234100342	2.2591910362243652	2.1602609157562256	2.274632215499878	2.2127323150634766	2.289483070373535	2.191835641860962	2.18792462348938	2.179511308670044	2.1159350872039795	2.0405051708221436	2.1933741569519043	2.2689452171325684	2.2455761432647705	2.0937600135803223	2.1285622119903564	2.194685459136963	2.1227455139160156	2.2993366718292236	2.2773702144622803	2.1507911682128906	2.1389570236206055	2.0975184440612793	2.242347478866577	2.0465171337127686	2.245759963989258	2.259589433670044	2.213665723800659	2.1701455116271973	2.1321921348571777	2.085179090499878	2.125727653503418	2.1174774169921875	2.187835454940796	2.1472058296203613	2.019395351409912	2.1781370639801025	2.222399950027466	2.187950849533081	2.1573522090911865	2.1900815963745117	2.13655424118042	2.094992160797119	2.11734676361084	2.0894935131073	2.290886878967285	2.0862374305725098	2.0834808349609375	2.220597505569458	2.195514440536499	2.1538710594177246	2.148977518081665	2.175123929977417	2.085763454437256	2.223916530609131	2.2021613121032715	2.1176204681396484	2.078598976135254	2.067575693130493	2.1599204540252686	2.0442793369293213	2.0384771823883057	2.1813735961914062	2.0581066608428955	2.178584575653076	2.20992374420166	2.1257174015045166	2.1823630332946777	2.0584075450897217	2.282808303833008	2.183041572570801	2.0253303050994873	2.140836715698242	2.080721616744995	2.0208933353424072	2.133192777633667
4	2.1277220249176025	2.0304770469665527	2.069495439529419	2.1224324703216553	2.1801652908325195	2.069216251373291	2.180633783340454	2.1404855251312256	2.202524185180664	2.1017463207244873	2.1069064140319824	2.0773508548736572	2.0326764583587646	1.9481614828109741	2.1107442378997803	2.1538870334625244	2.1715328693389893	2.0050957202911377	2.042234182357788	2.0991158485412598	2.033987283706665	2.230097532272339	2.185216188430786	2.058028221130371	2.0438156127929688	2.0108909606933594	2.182209014892578	1.964949131011963	2.133782386779785	2.1699540615081787	2.1084649562835693	2.0882225036621094	2.025090456008911	1.9997233152389526	2.0408458709716797	2.0402305126190186	2.097323179244995	2.0543951988220215	1.922943115234375	2.079495429992676	2.1448311805725098	2.100600481033325	2.0662343502044678	2.092933416366577	2.0476956367492676	2.0069477558135986	2.0165209770202637	2.0097696781158447	2.2172787189483643	2.004664182662964	1.9993988275527954	2.144986867904663	2.1005468368530273	2.061408042907715	2.0628867149353027	2.1094613075256348	1.9775471687316895	2.1501457691192627	2.114231586456299	2.037022829055786	1.9796470403671265	1.9543415307998657	2.0602498054504395	1.9433250427246094	1.9537955522537231	2.089949369430542	1.944495439529419	2.085400104522705	2.1185877323150635	2.015669822692871	2.0996155738830566	1.9535200595855713	2.1692028045654297	2.1017050743103027	1.9224532842636108	2.037487268447876	1.984018087387085	1.9314613342285156	2.039940118789673
5	2.030453681945801	1.9161471128463745	1.9629628658294678	2.0166473388671875	2.0957164764404297	1.9659929275512695	2.0684444904327393	2.0749523639678955	2.112091064453125	2.0049240589141846	2.0111563205718994	1.969496488571167	1.9221673011779785	1.8360291719436646	2.0127477645874023	2.039306402206421	2.0867068767547607	1.9047791957855225	1.9428812265396118	1.993623971939087	1.9310081005096436	2.150200128555298	2.080777168273926	1.9472795724868774	1.9374645948410034	1.9110182523727417	2.1075174808502197	1.8627564907073975	1.9997656345367432	2.0747628211975098	1.9911916255950928	1.9918057918548584	1.902707576751709	1.8967784643173218	1.931578278541565	1.9541645050048828	1.994730830192566	1.9443390369415283	1.8051046133041382	1.966373085975647	2.0554609298706055	1.99773371219635	1.9578850269317627	1.9732731580734253	1.949331283569336	1.9122437238693237	1.8960524797439575	1.9147025346755981	2.135692834854126	1.9109727144241333	1.8955897092819214	2.050853967666626	1.995016098022461	1.932743787765503	1.9483073949813843	2.0252525806427	1.8470739126205444	2.0565237998962402	2.011566638946533	1.944714903831482	1.8494200706481934	1.8171700239181519	1.9374569654464722	1.8131957054138184	1.8498696088790894	1.9771158695220947	1.799530267715454	1.9650821685791016	2.003706455230713	1.8783955574035645	1.993611216545105	1.8299789428710938	2.041002035140991	1.9982279539108276	1.8009912967681885	1.9058549404144287	1.8468363285064697	1.8305103778839111	1.9446561336517334
6	1.911195158958435	1.7778830528259277	1.8210400342941284	1.8928453922271729	1.98516845703125	1.8424755334854126	1.927815556526184	1.995955228805542	2.0005059242248535	1.8962290287017822	1.8884598016738892	1.8411269187927246	1.7775850296020508	1.7097467184066772	1.8896559476852417	1.917342185974121	1.976277232170105	1.7816659212112427	1.8166329860687256	1.8663827180862427	1.7977374792099	2.060877561569214	1.970333218574524	1.813631534576416	1.8107290267944336	1.7954756021499634	2.008286714553833	1.7451090812683105	1.8365312814712524	1.969457983970642	1.8602427244186401	1.882215976715088	1.7723027467727661	1.7813999652862549	1.8074092864990234	1.8554232120513916	1.8745108842849731	1.8169031143188477	1.671694040298462	1.8353841304779053	1.9436277151107788	1.878582239151001	1.8318302631378174	1.8352692127227783	1.8320118188858032	1.8107966184616089	1.7584141492843628	1.7933969497680664	2.0280723571777344	1.7993947267532349	1.7726223468780518	1.931633710861206	1.8789058923721313	1.7894525527954102	1.8163068294525146	1.929438829421997	1.6988404989242554	1.9459681510925293	1.90164053440094	1.8438974618911743	1.6988286972045898	1.671303153038025	1.7900909185409546	1.6659177541732788	1.7402461767196655	1.8455621004104614	1.6429263353347778	1.8298105001449585	1.8728530406951904	1.7398171424865723	1.879787564277649	1.6963359117507935	1.9126774072647095	1.8775603771209717	1.6687744855880737	1.763024926185608	1.6921404600143433	1.7231963872909546	1.8333420753479004
7	1.793043613433838	1.6231328248977661	1.677556037902832	1.7573432922363281	1.8589385747909546	1.7054086923599243	1.7670319080352783	1.9116573333740234	1.8802255392074585	1.7978371381759644	1.7562642097473145	1.7088866233825684	1.6344741582870483	1.5885905027389526	1.7533544301986694	1.7909682989120483	1.8534623384475708	1.6466747522354126	1.6888209581375122	1.73044753074646	1.658207654953003	1.951202392578125	1.8627861738204956	1.6804227828979492	1.6811708211898804	1.6675779819488525	1.894587516784668	1.6213228702545166	1.6579899787902832	1.851679801940918	1.7195219993591309	1.7626988887786865	1.642568826675415	1.6545732021331787	1.674599528312683	1.7533468008041382	1.7434558868408203	1.682679295539856	1.5432960987091064	1.696254014968872	1.8249797821044922	1.7445484399795532	1.6908838748931885	1.6826651096343994	1.702463150024414	1.7069870233535767	1.6104187965393066	1.6617190837860107	1.901247501373291	1.6696655750274658	1.64407217502594	1.8111190795898438	1.7539657354354858	1.646131992340088	1.6763359308242798	1.8302160501480103	1.546322226524353	1.8131555318832397	1.7927366495132446	1.7286208868026733	1.552590012550354	1.5270309448242188	1.631763219833374	1.5205987691879272	1.6283472776412964	1.7137210369110107	1.491865873336792	1.689910650253296	1.7365409135818481	1.6080673933029175	1.757596492767334	1.5614027976989746	1.7841907739639282	1.742595911026001	1.52998948097229	1.6185675859451294	1.5372776985168457	1.6096749305725098	1.6769311428070068
8	1.6760162115097046	1.4643634557724	1.5377060174942017	1.6228437423706055	1.7337950468063354	1.569097638130188	1.5981581211090088	1.818092942237854	1.7667065858840942	1.702539086341858	1.6207969188690186	1.5828055143356323	1.4905933141708374	1.4715328216552734	1.6092474460601807	1.6631017923355103	1.7275152206420898	1.5178158283233643	1.5630378723144531	1.5816924571990967	1.5163030624389648	1.82354736328125	1.7482796907424927	1.5552436113357544	1.551290512084961	1.52877938747406	1.7700437307357788	1.4972939491271973	1.481820821762085	1.7241697311401367	1.5742301940917969	1.6293232440948486	1.5103367567062378	1.5281494855880737	1.5403629541397095	1.6369062662124634	1.5995160341262817	1.5516246557235718	1.414417028427124	1.5619193315505981	1.7071470022201538	1.6085702180862427	1.5462865829467773	1.5319225788116455	1.5767130851745605	1.6050111055374146	1.4651151895523071	1.529139518737793	1.7617380619049072	1.5482699871063232	1.5133309364318848	1.6958582401275635	1.635006070137024	1.504568338394165	1.536179780960083	1.7270052433013916	1.3871285915374756	1.6704810857772827	1.6832019090652466	1.6024399995803833	1.419533133506775	1.3878562450408936	1.4722601175308228	1.3814030885696411	1.5069801807403564	1.5796548128128052	1.349794864654541	1.5502941608428955	1.6023814678192139	1.483665108680725	1.6305392980575562	1.4334564208984375	1.6563903093338013	1.6018718481063843	1.3896088600158691	1.4737048149108887	1.3823176622390747	1.4938650131225586	1.5197690725326538
9	1.5535386800765991	1.3126009702682495	1.394398808479309	1.4835723638534546	1.606011152267456	1.4308124780654907	1.4310096502304077	1.714154839515686	1.650023341178894	1.6028602123260498	1.4873110055923462	1.4552414417266846	1.3477908372879028	1.3638356924057007	1.4626458883285522	1.5362321138381958	1.597163200378418	1.4006177186965942	1.4364013671875	1.4390941858291626	1.3791422843933105	1.6837804317474365	1.6305110454559326	1.4393799304962158	1.4326449632644653	1.3883358240127563	1.6367172002792358	1.3829416036605835	1.3163007497787476	1.6000210046768188	1.4267154932022095	1.4900356531143188	1.380987286567688	1.405249834060669	1.4022026062011719	1.5134847164154053	1.451815128326416	1.42711341381073	1.280339241027832	1.4347771406173706	1.5873371362686157	1.476301908493042	1.4068893194198608	1.3972488641738892	1.4552558660507202	1.5011298656463623	1.3272244930267334	1.3960808515548706	1.6130523681640625	1.4395612478256226	1.3906991481781006	1.5874755382537842	1.5181496143341064	1.3699394464492798	1.395417332649231	1.6175129413604736	1.2392239570617676	1.5283632278442383	1.5671383142471313	1.4811029434204102	1.3013408184051514	1.2543766498565674	1.3241589069366455	1.251977801322937	1.3844465017318726	1.4524062871932983	1.2233898639678955	1.4176210165023804	1.469131350517273	1.3772939443588257	1.502369999885559	1.3158084154129028	1.5319935083389282	1.4628671407699585	1.2553009986877441	1.3369783163070679	1.2359262704849243	1.3806794881820679	1.3704001903533936
